nVertices,density,runtime
10,0.1,0.045450000000000004
10,0.15,0.025500000000000002
10,0.2,0.03175
10,0.25,0.02905
10,0.3,0.0496
10,0.35,0.08305
10,0.4,0.0359
10,0.45,0.048
10,0.5,0.0409
10,0.55,0.07150000000000001
10,0.6,0.04535
10,0.65,0.0477
10,0.7,0.06715
10,0.75,0.052500000000000005
10,0.8,0.0536
10,0.85,0.05665
10,0.9,0.06545
10,0.95,0.07095
10,1.0,0.1367
20,0.1,0.0851
20,0.15,0.0659
20,0.2,0.0747
20,0.25,0.08375
20,0.3,0.12004999999999999
20,0.35,0.12805
20,0.4,0.1462
20,0.45,0.20180000000000003
20,0.5,0.1809
20,0.55,0.14915
20,0.6,0.22244999999999998
20,0.65,0.32465
20,0.7,0.18305
20,0.75,0.2314
20,0.8,0.19305
20,0.85,0.18885000000000002
20,0.9,0.438
20,0.95,0.22054999999999997
20,1.0,0.25055
30,0.1,0.1041
30,0.15,0.13825
30,0.2,0.17115
30,0.25,0.21589999999999998
30,0.3,0.23645
30,0.35,0.2641
30,0.4,0.2431
30,0.45,0.29145
30,0.5,0.3148
30,0.55,0.45310000000000006
30,0.6,0.46125
30,0.65,0.38235
30,0.7,0.44945
30,0.75,0.45280000000000004
30,0.8,0.41895
30,0.85,0.48615
30,0.9,0.51805
30,0.95,0.52095
30,1.0,0.5805
40,0.1,0.2512
40,0.15,0.2358
40,0.2,0.35795
40,0.25,0.29495
40,0.3,0.43945
40,0.35,0.49275
40,0.4,0.5647
40,0.45,0.48224999999999996
40,0.5,0.5298999999999999
40,0.55,0.63605
40,0.6,0.521
40,0.65,0.95435
40,0.7,0.7544000000000001
40,0.75,0.638
40,0.8,1.10465
40,0.85,0.75155
40,0.9,0.8367000000000001
40,0.95,0.73845
40,1.0,0.91235
50,0.1,0.3342
50,0.15,0.2771
50,0.2,0.4003
50,0.25,0.42525
50,0.3,0.5305
50,0.35,0.6013
50,0.4,0.76665
50,0.45,0.8379999999999999
50,0.5,0.73205
50,0.55,0.8995000000000001
50,0.6,1.0327
50,0.65,0.88995
50,0.7,1.05725
50,0.75,1.125
50,0.8,1.1529
50,0.85,1.3804500000000002
50,0.9,1.10115
50,0.95,1.2376
50,1.0,1.1237
60,0.1,0.32725
60,0.15,0.3709
60,0.2,0.55155
60,0.25,0.56585
60,0.3,0.5995
60,0.35,0.6769000000000001
60,0.4,0.7275
60,0.45,0.7821
60,0.5,0.8849
60,0.55,1.0030000000000001
60,0.6,1.1545
60,0.65,0.99325
60,0.7,1.1641
60,0.75,1.134
60,0.8,1.3074
60,0.85,1.3004
60,0.9,1.4330500000000002
60,0.95,1.4708
60,1.0,1.58695
70,0.1,0.36845
70,0.15,0.4868
70,0.2,0.60655
70,0.25,0.72865
70,0.3,0.7643
70,0.35,0.84245
70,0.4,0.968
70,0.45,1.0379
70,0.5,1.1346
70,0.55,1.2448000000000001
70,0.6,1.41205
70,0.65,1.5924999999999998
70,0.7,1.6419000000000001
70,0.75,1.69375
70,0.8,1.6802
70,0.85,2.0736499999999998
70,0.9,2.1166
70,0.95,2.1155
70,1.0,2.05775
80,0.1,0.5096499999999999
80,0.15,0.6348499999999999
80,0.2,0.72775
80,0.25,0.9058999999999999
80,0.3,0.96695
80,0.35,1.1308500000000001
80,0.4,1.79465
80,0.45,1.3648
80,0.5,1.4269500000000002
80,0.55,1.7495999999999998
80,0.6,1.73175
80,0.65,1.9624
80,0.7,2.7043500000000003
80,0.75,2.1607
80,0.8,2.51155
80,0.85,2.38185
80,0.9,2.84875
80,0.95,2.42185
80,1.0,2.6732500000000003
90,0.1,0.5057
90,0.15,0.796
90,0.2,0.9503
90,0.25,1.05755
90,0.3,1.1802
90,0.35,1.3994
90,0.4,1.6176000000000001
90,0.45,1.7442499999999999
90,0.5,1.91185
90,0.55,1.88715
90,0.6,2.27325
90,0.65,2.4116
90,0.7,2.4235499999999996
90,0.75,2.66505
90,0.8,2.70545
90,0.85,2.9519
90,0.9,2.8713
90,0.95,3.15095
90,1.0,3.46315
100,0.1,0.83485
100,0.15,0.79565
100,0.2,1.1503
100,0.25,1.21645
100,0.3,1.4391500000000002
100,0.35,1.6212
100,0.4,1.7953499999999998
100,0.45,1.9767
100,0.5,2.1675
100,0.55,2.5667
100,0.6,2.5675
100,0.65,3.6158
100,0.7,2.8911000000000002
100,0.75,3.6646499999999995
100,0.8,3.5003
100,0.85,3.4909
100,0.9,3.6266
100,0.95,4.4451
100,1.0,4.297549999999999
110,0.1,0.67665
110,0.15,0.95475
110,0.2,1.17615
110,0.25,1.6159
110,0.3,1.7013500000000001
110,0.35,1.8097999999999999
110,0.4,2.1107
110,0.45,2.29315
110,0.5,2.69305
110,0.55,2.91645
110,0.6,3.01735
110,0.65,3.2749499999999996
110,0.7,3.507
110,0.75,3.7996499999999997
110,0.8,3.8735
110,0.85,4.33745
110,0.9,4.33775
110,0.95,4.65605
110,1.0,4.9684
120,0.1,0.9076000000000001
120,0.15,1.17485
120,0.2,1.403
120,0.25,2.2463
120,0.3,2.02115
120,0.35,2.1656
120,0.4,2.6151999999999997
120,0.45,3.319
120,0.5,4.2779
120,0.55,5.0068
120,0.6,5.22765
120,0.65,5.5429
120,0.7,5.47445
120,0.75,5.6152
120,0.8,7.7661
120,0.85,6.4602
120,0.9,6.943099999999999
120,0.95,8.03275
120,1.0,8.6199
130,0.1,1.2223
130,0.15,1.6409500000000001
130,0.2,2.2117999999999998
130,0.25,3.4213999999999998
130,0.3,3.90925
130,0.35,4.1171
130,0.4,4.2173
130,0.45,3.9202500000000002
130,0.5,5.3729
130,0.55,4.70875
130,0.6,6.1703
130,0.65,6.2972
130,0.7,7.350149999999999
130,0.75,7.30175
130,0.8,7.6747
130,0.85,8.139700000000001
130,0.9,9.3027
130,0.95,11.33935
130,1.0,10.255199999999999
140,0.1,1.4205999999999999
140,0.15,1.71065
140,0.2,1.8941
140,0.25,2.21885
140,0.3,2.6903
140,0.35,2.9334
140,0.4,3.3033500000000005
140,0.45,3.5740499999999997
140,0.5,4.16415
140,0.55,4.40765
140,0.6,4.694599999999999
140,0.65,5.2163
140,0.7,5.44975
140,0.75,5.8864
140,0.8,6.0649500000000005
140,0.85,6.98325
140,0.9,7.65855
140,0.95,7.04875
140,1.0,7.793350000000001
150,0.1,1.1514
150,0.15,1.6855499999999999
150,0.2,2.1191500000000003
150,0.25,2.5314
150,0.3,2.8316500000000002
150,0.35,3.3238
150,0.4,3.5284999999999997
150,0.45,4.1415
150,0.5,4.57055
150,0.55,5.00805
150,0.6,5.2385
150,0.65,5.77625
150,0.7,6.50935
150,0.75,6.52055
150,0.8,6.70185
150,0.85,7.5896
150,0.9,7.6774000000000004
150,0.95,8.0654
150,1.0,8.3123
160,0.1,1.3954
160,0.15,1.9616
160,0.2,2.3165500000000003
160,0.25,2.6936
160,0.3,3.3405500000000004
160,0.35,3.73825
160,0.4,4.50225
160,0.45,4.692
160,0.5,5.5177
160,0.55,5.6188
160,0.6,6.29225
160,0.65,6.31755
160,0.7,7.3146
160,0.75,7.5081500000000005
160,0.8,7.94825
160,0.85,8.448400000000001
160,0.9,8.8524
160,0.95,9.67975
160,1.0,10.2009
170,0.1,1.4561
170,0.15,2.47635
170,0.2,2.6805
170,0.25,3.2055
170,0.3,3.6125
170,0.35,4.0983
170,0.4,4.63775
170,0.45,5.41965
170,0.5,6.1368
170,0.55,6.3811
170,0.6,6.8473
170,0.65,7.26275
170,0.7,7.7513000000000005
170,0.75,8.25475
170,0.8,9.2496
170,0.85,12.729000000000001
170,0.9,16.01505
170,0.95,17.271549999999998
170,1.0,18.3414
180,0.1,2.4068
180,0.15,2.86355
180,0.2,4.35585
180,0.25,5.10265
180,0.3,5.28195
180,0.35,6.9911
180,0.4,5.711399999999999
180,0.45,5.91455
180,0.5,9.0014
180,0.55,9.7633
180,0.6,11.045449999999999
180,0.65,12.2065
180,0.7,15.8523
180,0.75,15.4826
180,0.8,12.00695
180,0.85,11.9176
180,0.9,12.23715
180,0.95,13.7458
180,1.0,16.8344
190,0.1,2.6029
190,0.15,2.6331499999999997
190,0.2,4.54225
190,0.25,3.9374000000000002
190,0.3,5.1571
190,0.35,5.4534
190,0.4,6.1307
190,0.45,6.69265
190,0.5,7.328149999999999
190,0.55,8.24745
190,0.6,9.0495
190,0.65,9.6876
190,0.7,9.95285
190,0.75,11.2181
190,0.8,12.09975
190,0.85,13.688999999999998
190,0.9,15.0459
190,0.95,14.5124
190,1.0,11.685500000000001
200,0.1,1.05905
200,0.15,1.42135
200,0.2,1.9256499999999999
200,0.25,2.2719
200,0.3,3.02625
200,0.35,2.91845
200,0.4,3.73155
200,0.45,3.60025
200,0.5,4.24765
200,0.55,4.83485
200,0.6,4.9161
200,0.65,5.7423
200,0.7,6.5551
200,0.75,8.1916
200,0.8,9.2803
200,0.85,9.1051
200,0.9,10.1449
200,0.95,9.886199999999999
200,1.0,9.9732
